 station@hdr_integer longitude@hdr:real latitude@hdr:real elevation@hdr:real ntot@body:integer n_good_years@body:integer
804150  -66.9910   10.6030   71.6000  45371 34
785260  -66.0000   18.4170    4.0000  49575 34
726071  -68.8190   44.7980   58.5000  48979 34
727120  -68.0170   46.8700  188.6000  49589 34
712790  -66.2500   50.2170   53.0000  48587 34
719090  -68.5560   63.7560   22.0000  48493 34
710900  -68.5170   70.4860   26.5000  48275 34
042020  -68.7030   76.5310   76.5000  48204 34
877500  -62.1690  -38.7250   75.0000  47577 34
873440  -64.2080  -31.3240  488.9000  48956 34
871290  -64.3100  -27.7660  199.9000  46373 34
852440  -63.1350  -17.6450  373.4000  48603 34
821110  -60.0500   -3.0390   80.5000  47762 34
820220  -60.6900    2.8460   84.1000  47705 34
789700  -61.3370   10.5950   17.7000  46966 24
788620  -61.7930   17.1370   18.9000  45138 34
717190  -64.5000   48.0170    4.0000  47380 34
718130  -61.8000   50.1830   11.0000  48157 34
710820  -62.3330   82.5000   31.0000  32577 17
890560  -58.9830  -62.1830   48.0000  46222 34
888890  -58.4470  -51.8230   74.4000  47563 34
876920  -57.5730  -37.9340   21.6000  47919 34
865800  -56.0310  -34.8380   32.0000  49274 34
871550  -59.0560  -27.4500   52.7000  49134 34
823320  -59.9860   -3.1460   81.4000  45902 34
789540  -59.4920   13.0750   51.5000  46759 34
714080  -55.7830   47.3670   60.0000  39577 28
718140  -59.6330   50.4500    8.0000  45972 34
870970  -54.4730  -25.7370  279.2000  48848 34
836120  -54.6730  -20.4690  558.7000  49103 34
822440  -54.7930   -2.4220   60.4000  47611 34
820980  -51.0720    0.0510   17.1000  47806 34
714020  -54.8000   49.6830   92.0000  46348 34
042500  -51.7500   64.1670   84.0000  48754 34
042310  -50.6890   67.0170   50.3000  49263 34
838990  -48.5470  -27.6700    6.1000  48655 34
837800  -46.6550  -23.6270  801.9000  48555 34
833780  -47.9130  -15.8630 1060.4000  48842 34
821930  -48.4760   -1.3790   16.5000  48589 34
